#,In which role are you responding to this survey?,Other,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,We coordinate a local Carpentries community.,"We are not involved yet, but would like to learn more.",We are not involved as a library but I am personally.,Other,Teaching and Learning,Collections management and acquisitions,"Scholarly communication, publishing services, open access",Digital library management,Information and data analytics,Research data management,"Research and development, digital projects","Metadata and data conversion, cataloging",Reference and user services,"Library IT, digital library services",Other,Library Carpentry,Data Carpentry,Software Carpentry,"No, but I plan to do so",No,Other,When did you last attend a Carpentries Workshop?,Git,Introduction to Data for Archivists,OpenRefine,Python,R,Regular Expressions,Spreadsheets/tidy data,SQL,Unix Shell,Web Scraping,I do not remember,Other,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,Other,How often do you now apply the skills and techniques which you have gained?,"In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Reorganising and Cleaning Spreadsheets","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Using Version Control","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Transforming Workflows into Scripts","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Scraping or Mining Web Content","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Improving Data Management and Project Organisation","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Using Programming Languages (R, Python)","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Reusing code","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Creating processable reports (e.g., R Markdown, Jupyter notebook)",What other behaviours/routines have you adopted as a result of completing a Carpentries workshop?,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,Recruitment of technical and/or analytical staff,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,Other,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),Participated in a semester-long course,Other,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,Other,What other topics should the Library Carpentry curriculum include?,Do you have any other suggestions on how Library Carpentry could support you in your work?,We would like to quote you. Please share a short statement on how you personally benefitted from your workshop participation or further engagement with The Carpentries.,How would you classify your institution/organisation?,Other,What is the size of your overall institution in terms of staff (academic and administrative)?,Other,What is the size of your overall institution in terms of full-time equivalent (FTE) enrolled students?,What is the size of the library in terms of FTE staff?,Is there anything else you would like to share?,Start Date (UTC),Submit Date (UTC),Network ID
3vdhyevchx63lvpakbh5p3vdhye831en,As an individual,,,,,,,,We've hosted one carpentries workshop,,,,,,,,"Metadata and data conversion, cataloging",,,,Library Carpentry,,,,,,More than 1 year ago,Git,,OpenRefine,,,Regular Expressions,Spreadsheets/tidy data,,,,,,,My own work area(s),I have suggested tools to others and explained how they work,,Weekly,5,6,1,0,5,1,3,0,I use Open Refine constantly,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,,,,,,,I recommended the workshops to other colleagues and friends,,,,,FAIR data;,,,Special library,,,,Not applicable,at least 10 but fewer than 50,,2021-06-24 14:52:21,2021-06-24 14:58:58,46494624af
tdwwh7blv56myx9w6lotdwwhvvmroiur,As a representative of a member institution,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,,,,,,,,"Scholarly communication, publishing services, open access",Digital library management,,Research data management,,,,,,Library Carpentry,,,,,,More than 1 year ago,,,OpenRefine,,,,,SQL,Unix Shell,,,,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,,Daily,6,6,2,4,6,2,5,3,more facile with moving in between technologies and feeling comfortable with various forms of tech,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,,I contributed to Carpentries workshops as a helper,,Would like to include a section on pivot tables in excel,,"""The Carpentries has allowed me to expand my library toolbox and put to use methods and skills that makes me a more efficient and creative librarian.""",University,,at least 10000,,at least 5000 but fewer than 10000,at least 500,,2021-06-24 14:30:54,2021-06-24 14:35:54,5d8ead2c6c
g6za4jg2u99taxm3zg6w2f9ikm5zdlt5,As an individual,,,,,,"We are not involved yet, but would like to learn more.",,,,,,,,,,,,"Library IT, digital library services",,,,,,No,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Public library,,Fewer than 200,,Not applicable,at least 10 but fewer than 50,,2021-06-24 13:34:14,2021-06-24 13:36:31,651a23869a
vb2c73ajxyjbl33es691vb2c73tqjm3a,,,,,,,,We are not involved as a library but I am personally.,,,,,,,,,,,"Library IT, digital library services",,,Data Carpentry,Software Carpentry,,,,More than 1 year ago,Git,,OpenRefine,Python,R,Regular Expressions,Spreadsheets/tidy data,,,,I do not remember,,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,,Weekly,3,5,3,1,4,6,4,1,General thinking about good use of technology and reproducible methods,Stronger confidence in learning new technical skills,,Decision-making on technical solutions in libraries,,,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,,Participated in a short course or workshop (up to 4 days),,,,I recommended the workshops to other colleagues and friends,,,,Helped researchers at my institution via Slack,"Further/advanced Git
Jekyll/Ruby for research websites and blogging
Further Python","I would be happy if there was a way to remain engaged with Library Carpentry, other than attending courses, or becoming a trainer. Something like our local Slack group has been useful to support others, but without a huge time commitment.","The Carpentries is has been transformative in my institution, and I'm sure others. It is so important to make staff and researchers aware of open source tools and how to use them effectively.",University,,at least 10000,,at least 20000,less than 10,,2021-06-24 11:37:14,2021-06-24 11:51:39,1c2d3ce40e
uo2ww68wt1ws7a4hi3xw0uo2ww685oie,As an individual,,,,,,,We are not involved as a library but I am personally.,,,,,,,,,,,"Library IT, digital library services",,Library Carpentry,,,,,,0-6 months ago,Git,Introduction to Data for Archivists,OpenRefine,Python,R,,,SQL,Unix Shell,,,,In a new work area or project,My own work area(s),,,Monthly,5,2,2,5,6,1,1,2,,,,Decision-making on technical solutions in libraries,,,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,,,,,,,,,,,,,,,University,,at least 200 but fewer than 500,,at least 20000,at least 10 but fewer than 50,,2021-06-24 11:24:51,2021-06-24 11:36:37,0a5e44551e
6wgfnivkbvlmvrp0p6wgf6ovl38m15b9,As an individual,,,,,,"We are not involved yet, but would like to learn more.",,,,,,,,,"Research and development, digital projects",,,,,Library Carpentry,Data Carpentry,,,,,More than 1 year ago,Git,Introduction to Data for Archivists,OpenRefine,,,Regular Expressions,,,Unix Shell,,,,,,I have suggested tools to others and explained how they work,,Less than once a year,3,3,0,0,3,0,0,0,,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,,,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,,,,,,,I recommended the workshops to other colleagues and friends,,,,,,,,,,at least 200 but fewer than 500,,Not applicable,at least 250 but fewer than 500,,2021-06-24 11:18:12,2021-06-24 11:22:54,bda2c412a1
5l8ltdzzmate2tqqu5l8ltg0dfdc3vwn,As an individual,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,,,,We are not involved as a library but I am personally.,,Teaching and Learning,,"Scholarly communication, publishing services, open access",,,Research data management,,,,,,,,,,,Taught but not actually attended as a learner!,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,Encouraging skills development of staff,,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,,,,,,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,Past maintainer and advisory group member,Data ethics maybe?,,,,National Library,at least 2000 but fewer than 5000,,Not applicable,at least 500,,2021-06-24 11:13:54,2021-06-24 11:18:32,96f56097fb
zoyntjopothn5zoynu0jrvgggwzkhyq5,As an individual,,,,,,"We are not involved yet, but would like to learn more.",,,Teaching and Learning,,,,,,,,Reference and user services,,,Library Carpentry,,,,,,0-6 months ago,Git,,OpenRefine,,,Regular Expressions,,,Unix Shell,,,,,,,None,Less than once a year,0,0,0,0,0,3,0,0,,Stronger confidence in learning new technical skills,,,,,,,,Used non-Carpentry self-guided material,,,Participated in a semester-long course,,,,,,,,,,,Public library,,at least 500 but fewer than 2000,,at least 20000,at least 500,,2021-06-24 10:56:20,2021-06-24 11:01:25,4923a9bac3
mgjv5vpny9xryqwrtfjqomgjv5mes7g5,As a representative of a member institution,,We organise and host Carpentries workshops.,,,,,,,Teaching and Learning,,,,,,,,Reference and user services,,,Library Carpentry,,,,,,More than 1 year ago,Git,,OpenRefine,,,Regular Expressions,,SQL,Unix Shell,,,,,My own work area(s),,,Several times per year,3,1,3,0,3,1,3,0,I try to search for solutions to technical problems more efficiently and I don't give up that easily when confronted with technical problems.,Stronger confidence in learning new technical skills,,,,Improved relationships with academic or technical partners,,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,,,,,,I recommended the workshops to other colleagues and friends,,,,,Maybe an introduction into coding (languages) / an introduction into CMS,,The course offers a fun and collaborative way of learning about data management and related topics. It is also accessible to beginners in the field and small successes are achieved easily which makes you more comfortable in dealing with technical issues in general.,,,at least 10000,,at least 20000,at least 500,,2021-06-24 10:05:14,2021-06-24 10:26:11,d8f1acf516
cc7dwlp66lddh1aewp4oevcc7dwlixnp,As an individual,,,,,,,,,,Collections management and acquisitions,,,Information and data analytics,,,"Metadata and data conversion, cataloging",,,,Library Carpentry,,,,,,0-6 months ago,Git,,OpenRefine,,,Regular Expressions,,,Unix Shell,,,,,My own work area(s),,,Weekly,4,4,4,0,6,0,4,0,,,,,,,,,,Used non-Carpentry self-guided material,,,,,,I recommended the workshops to other colleagues and friends,,,,,,,,University,,Fewer than 200,,at least 20000,at least 100 but fewer than 250,,2021-06-24 10:00:11,2021-06-24 10:06:05,7ee0d1b1fc
ddwi407y1g6okgnunddwhozftyj1mmm7,As an individual,,,,,,,We are not involved as a library but I am personally.,,,,,Digital library management,,,"Research and development, digital projects",,,"Library IT, digital library services",,Library Carpentry,,,,,,0-6 months ago,Git,,,,,,,,,,,,,My own work area(s),,,Weekly,1,4,0,0,0,0,0,0,,Stronger confidence in learning new technical skills,,,,,,,,,,,,,,I recommended the workshops to other colleagues and friends,,,,,,,,University,,at least 500 but fewer than 2000,,at least 10000 but fewer than 20000,at least 50 but fewer than 100,,2021-06-24 09:48:33,2021-06-24 09:51:56,960f00f1ac
ugmxcj11wixtq6g20tugmx7cvp4v6b6m,As an individual,,,,,,,,I only participated as an individual,,Collections management and acquisitions,,,Information and data analytics,,,,,"Library IT, digital library services",,Library Carpentry,,,,,,More than 1 year ago,Git,,OpenRefine,,,,,,Unix Shell,,,,,My own work area(s),,,Several times per year,0,3,4,0,0,3,3,0,,Stronger confidence in learning new technical skills,,Decision-making on technical solutions in libraries,,,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,,,,,,I recommended the workshops to other colleagues and friends,,,,,extended pymarc workshop,,,University,,at least 500 but fewer than 2000,,at least 10000 but fewer than 20000,at least 50 but fewer than 100,,2021-06-24 09:42:17,2021-06-24 09:47:17,23e4f6b0a5
gk2v6m7pt0btngobpmgk2v6m72ysklrh,As an individual,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,We coordinate a local Carpentries community.,,,,Teaching and Learning,Collections management and acquisitions,,,,,,,,"Library IT, digital library services",,Library Carpentry,,,,,,More than 1 year ago,Git,,OpenRefine,,R,,Spreadsheets/tidy data,,,,,,,,I have suggested tools to others and explained how they work,,Monthly,3,5,2,1,1,2,2,4,,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,,,,Used Carpentry self-guided material,,Contributed as an instructor/helper to a Carpentry workshop,,,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,,I contributed to Carpentries workshops as a helper,,,,The friendly atmosphere and the basic level of the courses encourage even experienced library staff to learn new and helpful skills.,University,,at least 500 but fewer than 2000,,at least 20000,at least 250 but fewer than 500,,2021-06-24 07:55:10,2021-06-24 08:05:07,a6ce034336
4pp36p1bpu4uaj5mt23yk4pp36p1o4du,As an individual,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,,,,,,,,,,Research data management,"Research and development, digital projects",,,"Library IT, digital library services",,Library Carpentry,Data Carpentry,Software Carpentry,,,,0-6 months ago,Git,,OpenRefine,Python,R,Regular Expressions,Spreadsheets/tidy data,,Unix Shell,,,,,My own work area(s),I have suggested tools to others and explained how they work,,Weekly,6,6,3,4,6,3,4,3,,,Encouraging skills development of staff,,,,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,,,,University,,at least 10000,,at least 20000,at least 100 but fewer than 250,,2021-06-23 15:19:30,2021-06-23 15:23:47,70c71d545c
1xar2wayw5iy6kfuz08fxe1xa3z4fn1t,As an individual,,,We contribute as instructors/helpers to workshops.,,,,,,,,,,,Research data management,,,,,,,Data Carpentry,,,,,More than 1 year ago,Git,,OpenRefine,,R,,,SQL,,,,,In a new work area or project,My own work area(s),,,Monthly,5,4,3,0,5,1,3,0,,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,,Contributed as an instructor/helper to a Carpentry workshop,,,,I have joined The Carpentries community as an instructor,,I have promoted membership to the head of my institution,,I contributed to Carpentries workshops as a helper,,,,,University,,at least 5000 but fewer than 10000,,at least 20000,at least 100 but fewer than 250,,2021-06-23 03:08:17,2021-06-23 03:12:11,508c753d90
m45zi4sckao741lafn6tm45zi4a07maw,,,,,,,,,,,,,,,,,,,,,,,,"No, but I plan to do so",,,Have not attended a Carpentries Workshop,,,,,,,,,,,,I have not attended,,,,none,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,University,,at least 2000 but fewer than 5000,,at least 20000,at least 10 but fewer than 50,,2021-06-22 03:53:14,2021-06-22 03:57:53,5c170576ff
g8wiih8or8xt5rm45g8wihiaydctrxxk,As an individual,,,We contribute as instructors/helpers to workshops.,,,,,"We organise and host ""based on carpentries"" workshops/hacky hours",Teaching and Learning,,"Scholarly communication, publishing services, open access",,,,,,Reference and user services,,,Library Carpentry,Data Carpentry,Software Carpentry,,,,0-6 months ago,,,,,,,,,,,,Instructor training bonus module,,My own work area(s),,,Monthly,6,3,0,0,6,0,0,0,I've applied some of the instructor methodology to my other teaching.,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,,,Contributed as an instructor/helper to a Carpentry workshop,,,"Contributed to design and delivery of ""based on carpentries"" workshops",I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,"More on data and project management, and more on managing versions and collaborating beyond git.",,The Carpentries supports my skill development to allow me to be an agile employee that can face the challenges of a changing workplace with confidence.,University,,at least 2000 but fewer than 5000,,at least 20000,at least 100 but fewer than 250,,2021-06-21 22:38:52,2021-06-21 23:06:26,6a93e894da
b7jitwgky70srh75kb7jiymrwf1985ml,As an individual,,,,,,,,,,,"Scholarly communication, publishing services, open access",,,Research data management,,,,,,Library Carpentry,,,,,,More than 1 year ago,,,OpenRefine,Python,,Regular Expressions,,,Unix Shell,,,,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,,,6,1,1,1,2,2,1,1,Use of Open Refine,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,,Improved relationships with academic or technical partners,,,,,Contributed as an instructor/helper to a Carpentry workshop,,,,,I recommended the workshops to other colleagues and friends,,,,,,Advocacy to library management,Learning skills from The Carpentries was a threshold concept for me - it blew my perceptions of research wide open and allowed me to talk with researchers and technical staff as equals.,,,at least 200 but fewer than 500,,at least 1000 but fewer than 5000,at least 50 but fewer than 100,,2021-06-21 22:49:58,2021-06-21 22:55:12,7de89ba82f
dzpbghqsttf76ji1soou8dzpbghqijui,As a representative of a member institution,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,,,,,,,,,Information and data analytics,,,,,,,Library Carpentry,Data Carpentry,Software Carpentry,,,,7-12 months ago,,,,,,,Spreadsheets/tidy data,,,,,,,My own work area(s),,,Weekly,,3,4,0,6,5,4,2,It resulted in a new role -  I now help people with computation and data analysis/visualization.,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,,,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,na,na,na,University,,at least 10000,,at least 20000,at least 100 but fewer than 250,,2021-06-21 16:15:00,2021-06-21 16:25:51,74b71464a6
ohywbw28vkvznreisohyihzksqv5qtws,As a representative of a member institution,,,We contribute as instructors/helpers to workshops.,,,,,,,,,,,,,,,,,,,,,No,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,Less than once a year,0,0,0,,,,,,not applicable,,,,,,,,,,,,,not attended,,I recommended the workshops to other colleagues and friends,,,,,don't know,Library examples for data and case studies,not applicable,University,,at least 10000,,at least 20000,at least 50 but fewer than 100,The survey was not what we expected.  It was not clear from your email that you wanted responses from practioners.  The email indicated you wanted a 'representative' to answer.,2021-06-21 06:45:15,2021-06-21 06:53:23,6a93e894da
0q1u98lmy3xfomcb90q1u98lc38avgjz,,,,,,,,,,Teaching and Learning,,"Scholarly communication, publishing services, open access",,,,,,Reference and user services,,,,Data Carpentry,,,,,0-6 months ago,,,OpenRefine,,,,,,,,,,,My own work area(s),,,Several times per year,3,0,0,0,0,0,0,0,None,,,,,,Rethinking current approaches for data processing and management in my unit/department,,,,,,,,,I recommended the workshops to other colleagues and friends,,,,,I don't know enough about the Carpentries yet.,Not yet,I was able to interrogate data in a way which revealed a problem that needed to be addressed.,University,,at least 500 but fewer than 2000,,at least 20000,at least 10 but fewer than 50,Not really,2021-06-21 00:49:47,2021-06-21 01:00:10,94c0d4aa0b
p825ryiiwfhyl9sp82q423c72cx2ogd2,As an individual,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,,,,,,Teaching and Learning,,,,,,,,Reference and user services,"Library IT, digital library services",,,,,"No, but I plan to do so",,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,,at least 5000 but fewer than 10000,,at least 10000 but fewer than 20000,at least 250 but fewer than 500,,2021-06-17 16:21:39,2021-06-17 16:24:06,a02699f0ff
ivvbjw9nu3e2tz2mraj6yygivvbjwvvq,As an individual,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,,,,,,Teaching and Learning,,,,,Research data management,,,Reference and user services,,,Library Carpentry,,Software Carpentry,,,,0-6 months ago,,,OpenRefine,,R,,Spreadsheets/tidy data,,,,,,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,,Weekly,5,3,1,1,5,5,4,5,Being able to speak with more confidence about data science workflows and find overlap between the data management work that I do and the data science work of my colleagues.,Stronger confidence in learning new technical skills,,,Recruitment of technical and/or analytical staff,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,,Contributed as an instructor/helper to a Carpentry workshop,,,,I have joined The Carpentries community as an instructor,,,I have organised workshops or sessions,,,I would love for the webscraping curriculum to be updated.,More community support for maintainers and info about how to be an LC maintainer,The Carpentries is an amazing resource for librarians who want to expand their technical skills and join a community excited about teaching and learning.,University,,at least 10000,,at least 1000 but fewer than 5000,at least 50 but fewer than 100,,2021-06-17 16:06:11,2021-06-17 16:12:58,929371185d
wvn89082kvvarwvn8a5xljv0vsk70pns,As an individual,,,,,,,We are not involved as a library but I am personally.,,,,,,,Research data management,,,,,,Library Carpentry,Data Carpentry,Software Carpentry,,,,More than 1 year ago,Git,,OpenRefine,,,Regular Expressions,Spreadsheets/tidy data,SQL,Unix Shell,,,,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,,Several times per year,5,3,4,0,6,3,3,1,,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,automated repetitive tasks,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),,started a community of practice at work,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,perhaps finalise the alpha and beta lessons first?,,"The Carpentry workshops didn’t teach me everything but they equipped me with the skills and confidence to change how I interact with data and approach data problems. I have since become a certified instructor, and have not stopped sharing and learning data and digital skills with like-minded colleagues. I’m now pursuing a formal qualification in data science, which I wouldn’t even dream of doing if I have never been involved in the Carpentries community.",University,,,,,at least 50 but fewer than 100,,2021-06-17 08:25:31,2021-06-17 09:01:00,284431ad7c
qfx8qo83jqc2neq5rqfx8qo5w80keh15,As an individual,,,,,,,,,,,,,,Research data management,,,,,,Library Carpentry,,Software Carpentry,,,,More than 1 year ago,Git,,OpenRefine,,R,,,,Unix Shell,,,,,,I have suggested tools to others and explained how they work,,Less than once a year,0,0,0,0,1,0,0,1,,,Encouraging skills development of staff,,,,,,,,,,,,,I recommended the workshops to other colleagues and friends,,,,,,,,University,,at least 2000 but fewer than 5000,,at least 20000,at least 100 but fewer than 250,,2021-06-17 05:58:19,2021-06-17 06:02:55,bb1369c613
u2i7tneepsv8hrp8w8mu2i7tn1wlqhah,As a representative of a member institution,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,,,,,,Teaching and Learning,,"Scholarly communication, publishing services, open access",,,Research data management,,,,,,Library Carpentry,,Software Carpentry,,,,0-6 months ago,,,,Python,,,,,,,,,,,I have suggested tools to others and explained how they work,,Less than once a year,1,1,0,0,3,0,0,0,Better judgement when advising based on understanding,Stronger confidence in learning new technical skills,,Decision-making on technical solutions in libraries,,Improved relationships with academic or technical partners,,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,,Participated in a short course or workshop (up to 4 days),,,,I recommended the workshops to other colleagues and friends,,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,,,,University,,at least 2000 but fewer than 5000,,at least 20000,at least 100 but fewer than 250,,2021-06-17 04:17:02,2021-06-17 04:27:19,86fd7e3182
tw48z89okamy7yzjrkmtw48zuaad3bqa,As a representative of a member institution,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,,,,,Teaching and Learning,,,,,Research data management,,,,,,Library Carpentry,,,,,,7-12 months ago,,,OpenRefine,,,,,,,,,,,My own work area(s),,,Monthly,3,3,0,0,0,3,0,0,,Stronger confidence in learning new technical skills,,,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,,,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,,I contributed to Carpentries workshops as a helper,,"Data curation, research data management, FAIR data, and research reproducibility",,,Public research organisation,,at least 10000,,at least 10000 but fewer than 20000,at least 100 but fewer than 250,,2021-06-16 23:36:52,2021-06-16 23:44:41,5d781c73cd
faj5kiuphq8bxfizjfaj5kujpnot5r5e,As a representative of a member institution,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,We coordinate a local Carpentries community.,,,,Teaching and Learning,Collections management and acquisitions,,,,,,,Reference and user services,,,Library Carpentry,,Software Carpentry,,,,More than 1 year ago,Git,,OpenRefine,Python,,Regular Expressions,,,Unix Shell,,,,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,,Weekly,3,3,1,5,3,6,4,3,,,Encouraging skills development of staff,,,Improved relationships with academic or technical partners,,,,,Contributed as an instructor/helper to a Carpentry workshop,,,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,Up to date one day Python lesson that uses library specific use cases. Also an update to the web scraping lesson to use Python requests and Beautiful Soup as an add on to Python lesson. The current web scraping lesson is more appropriate for software developers building web crawlers in Scrapy. Scrapy is also conceptually difficult to scaffold in a half-day lesson and can leave learners feeling confused.,,,University,,at least 10000,,at least 20000,,,2021-06-16 19:33:57,2021-06-16 19:55:05,ce44f5f992
voqurvatiid7cvohi84sb1yobm0po05y,As an individual,,,We contribute as instructors/helpers to workshops.,,,,,,Teaching and Learning,,"Scholarly communication, publishing services, open access",,,,,,Reference and user services,,,Library Carpentry,,,,,,0-6 months ago,,,OpenRefine,,,Regular Expressions,,,,,,,,My own work area(s),I have suggested tools to others and explained how they work,,Less than once a year,2,3,0,0,3,0,0,0,,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,,Rethinking current approaches for data processing and management in my unit/department,,,,Contributed as an instructor/helper to a Carpentry workshop,,,,I have joined The Carpentries community as an instructor,,,,I contributed to Carpentries workshops as a helper,,,,,University,,at least 500 but fewer than 2000,,at least 10000 but fewer than 20000,at least 50 but fewer than 100,,2021-06-16 03:33:32,2021-06-16 03:39:44,3.6186E+284
