number,respondent_role,we_organise_and_host_carpentries_workshops,we_contribute_as_instructors_helpers_to_workshops,we_manage_an_institutional_carpentries_membership,we_coordinate_a_local_carpentries_community,we_are_not_involved_yet_but_would_like_to_learn_more,we_are_not_involved_as_a_library_but_i_am_personally,other_10,teaching_and_learning,collections_management_and_acquisitions,scholarly_communication_publishing_services_open_access,digital_library_management,information_and_data_analytics,research_data_management,research_and_development_digital_projects,metadata_and_data_conversion_cataloging,reference_and_user_services,library_it_digital_library_services,other_21,library_carpentry,data_carpentry,software_carpentry,no_but_i_plan_to_do_so,no,other_27,last_workshop_attended,git,introduction_to_data_for_archivists,open_refine,python,r,regular_expressions,spreadsheets_tidy_data,sql,unix_shell,web_scraping,i_do_not_remember,other_40,in_a_new_work_area_or_project,my_own_work_area_s,i_have_suggested_tools_to_others_and_explained_how_they_work,other_44,application_frequency,reorganising_and_cleaning_spreadsheets,using_version_control,transforming_workflows_into_scripts,scraping_or_mining_web_content,improving_data_management_and_project_organisation,using_programming_languages_r_python,reusing_code,creating_processable_reports_e_g_r_markdown_jupyter_notebook,what_other_behaviours_routines_have_you_adopted_as_a_result_of_completing_a_carpentries_workshop,stronger_confidence_in_learning_new_technical_skills,encouraging_skills_development_of_staff,decision_making_on_technical_solutions_in_libraries,recruitment_of_technical_and_or_analytical_staff,improved_relationships_with_academic_or_technical_partners,rethinking_current_approaches_for_data_processing_and_management_in_my_unit_department,other_61,used_carpentry_self_guided_material,used_non_carpentry_self_guided_material,contributed_as_an_instructor_helper_to_a_carpentry_workshop,participated_in_a_short_course_or_workshop_up_to_4_days,participated_in_a_semester_long_course,other_67,i_have_joined_the_carpentries_community_as_an_instructor,i_recommended_the_workshops_to_other_colleagues_and_friends,i_have_promoted_membership_to_the_head_of_my_institution,i_have_organised_workshops_or_sessions,i_contributed_to_carpentries_workshops_as_a_helper,other_73,what_other_topics_should_the_library_carpentry_curriculum_include,do_you_have_any_other_suggestions_on_how_library_carpentry_could_support_you_in_your_work,we_would_like_to_quote_you_please_share_a_short_statement_on_how_you_personally_benefitted_from_your_workshop_participation_or_further_engagement_with_the_carpentries,how_would_you_classify_your_institution_organisation,other_78,size_of_your_overall_institution_in_terms_of_staff_academic_and_administrative,other_80,size_of_your_overall_institution_in_terms_of_fte_enrolled_students,size_of_the_library_in_terms_of_fte_staff,is_there_anything_else_you_would_like_to_share,start_date_utc,submit_date_utc,network_id
25091qfuikbvhbx9z8hmbj250919jpr3,NA,We organise and host Carpentries workshops.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Library IT, digital library services",NA,Library Carpentry,NA,NA,NA,NA,NA,More than 1 year ago,NA,NA,OpenRefine,NA,NA,NA,Spreadsheets/tidy data,NA,NA,NA,NA,NA,NA,NA,NA,NA,Less than once a year,0,0,0,0,0,0,0,0,Using Open refine,NA,NA,NA,NA,NA,Rethinking current approaches for data processing and management in my unit/department,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I contributed to Carpentries workshops as a helper,NA,NA,NA,NA,NA,NA,at least 500 but fewer than 2000,NA,at least 10000 but fewer than 20000,at least 250 but fewer than 500,NA,2021-06-28T09:54:11Z,2021-06-28,52856227c3
sjn2737xowkunbdlbsjnqaarks7v8k7d,As an individual,NA,NA,NA,NA,NA,We are not involved as a library but I am personally.,NA,NA,NA,"Scholarly communication, publishing services, open access",NA,NA,NA,NA,NA,NA,NA,NA,Library Carpentry,NA,NA,NA,NA,NA,0-6 months ago,Git,NA,OpenRefine,NA,NA,Regular Expressions,NA,NA,Unix Shell,NA,NA,NA,NA,My own work area(s),NA,NA,Weekly,5,4,0,0,0,0,3,0,NA,Stronger confidence in learning new technical skills,Encouraging skills development of staff,NA,NA,NA,NA,NA,Used Carpentry self-guided material,NA,NA,Participated in a short course or workshop (up to 4 days),NA,NA,NA,I recommended the workshops to other colleagues and friends,NA,NA,NA,NA,NA,NA,NA,Public research organisation,NA,at least 200 but fewer than 500,NA,Not applicable,at least 250 but fewer than 500,NA,2021-06-28T08:49:39Z,2021-06-28,62f0356ec5
qkuv2h25kt4kc2z211nhzzqkuv2h2561,As a representative of a member institution,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,We coordinate a local Carpentries community.,NA,NA,NA,Teaching and Learning,NA,NA,NA,Information and data analytics,Research data management,NA,NA,NA,NA,NA,Library Carpentry,Data Carpentry,Software Carpentry,NA,NA,NA,0-6 months ago,Git,NA,OpenRefine,NA,NA,Regular Expressions,NA,NA,Unix Shell,NA,NA,NA,NA,My own work area(s),I have suggested tools to others and explained how they work,NA,Monthly,5,3,1,1,6,1,2,1,NA,NA,Encouraging skills development of staff,Decision-making on technical solutions in libraries,Recruitment of technical and/or analytical staff,NA,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,NA,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),NA,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,NA,NA,I contributed to Carpentries workshops as a helper,NA,NA,NA,NA,University,NA,at least 10000,NA,at least 20000,at least 250 but fewer than 500,NA,2021-06-28T08:25:04Z,2021-06-28,b97f3118c3
85d2m6oip8oiqn3g42x85d2m6blkxkpv,As an individual,NA,NA,NA,NA,NA,NA,Just receive e-mails,NA,NA,NA,NA,NA,NA,NA,"Metadata and data conversion, cataloging",NA,NA,NA,NA,NA,NA,NA,No,NA,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University,NA,at least 500 but fewer than 2000,NA,less than 1000,less than 10,NA,2021-06-25T19:50:21Z,2021-06-25,b048677bfe
hzvft8pop6cvtw82u4hzvft8poaeus0p,As an individual,We organise and host Carpentries workshops.,NA,NA,NA,NA,NA,"Want to be more involved (mostly host ""unofficial"" workshops)",NA,NA,NA,NA,Information and data analytics,Research data management,NA,NA,Reference and user services,NA,NA,NA,Data Carpentry,NA,NA,NA,NA,More than 1 year ago,NA,NA,OpenRefine,NA,R,NA,Spreadsheets/tidy data,NA,Unix Shell,NA,NA,NA,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,NA,Weekly,6,5,2,3,6,6,5,4,NA,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,NA,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),NA,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,NA,NA,Creating interactive dashboards/visualizations,NA,NA,NA,NA,at least 500 but fewer than 2000,NA,at least 1000 but fewer than 5000,at least 10 but fewer than 50,NA,2021-06-25T12:37:07Z,2021-06-25,6041c71e30
rsakdikv3c3cp50522rarsa4uic5sj0w,As an individual,NA,We contribute as instructors/helpers to workshops.,NA,NA,NA,NA,NA,NA,NA,NA,Digital library management,Information and data analytics,NA,NA,"Metadata and data conversion, cataloging",NA,NA,NA,Library Carpentry,NA,NA,NA,NA,NA,More than 1 year ago,Git,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My own work area(s),NA,NA,Several times per year,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rethinking current approaches for data processing and management in my unit/department,NA,NA,Used non-Carpentry self-guided material,NA,NA,NA,NA,NA,I recommended the workshops to other colleagues and friends,NA,NA,NA,NA,NA,NA,difficult theme for me became more understandable,University,NA,at least 200 but fewer than 500,NA,NA,NA,NA,2021-06-25T06:50:15Z,2021-06-25,304fd861b0
pt362h81246w2zxpfpt362wtn6e16150,As an individual,NA,NA,NA,NA,NA,We are not involved as a library but I am personally.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I manage researcher support and training,Library Carpentry,Data Carpentry,Software Carpentry,NA,NA,NA,More than 1 year ago,Git,NA,OpenRefine,NA,NA,Regular Expressions,NA,NA,Unix Shell,NA,NA,NA,NA,My own work area(s),I have suggested tools to others and explained how they work,NA,Daily,6,6,1,2,6,1,6,0,Teaching others the skills I learned,Stronger confidence in learning new technical skills,Encouraging skills development of staff,NA,NA,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,NA,NA,Used non-Carpentry self-guided material,NA,NA,NA,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,NA,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,NA,Computational thinking,Include case studies and examples of ways people have transformed library work practices and share code for innovations,I learned it is never too late to learn new things and I learned how to be a better teacher.,University,NA,at least 2000 but fewer than 5000,NA,at least 20000,at least 250 but fewer than 500,NA,2021-06-25T00:06:26Z,2021-06-25,de6c68a33f
ypa0acaq7osf6mxpbnxypa0aca3uqncd,As an individual,NA,We contribute as instructors/helpers to workshops.,NA,NA,NA,NA,NA,NA,NA,"Scholarly communication, publishing services, open access",Digital library management,NA,NA,"Research and development, digital projects",NA,NA,NA,NA,Library Carpentry,NA,Software Carpentry,NA,NA,NA,0-6 months ago,Git,NA,NA,Python,NA,NA,NA,NA,Unix Shell,NA,NA,NA,NA,My own work area(s),NA,NA,Weekly,3,1,2,0,0,4,3,1,"I've adopted some Carpentries training techniques - eg, red/green stickies, live coding",Stronger confidence in learning new technical skills,Encouraging skills development of staff,NA,NA,NA,NA,NA,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),NA,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,NA,NA,I contributed to Carpentries workshops as a helper,NA,data analysis and visualization for library analytics,NA,NA,University,NA,at least 5000 but fewer than 10000,NA,at least 10000 but fewer than 20000,at least 100 but fewer than 250,NA,2021-06-24T16:04:58Z,2021-06-24,b689bf5901
3g2a8w7vrjp2yztqc5r3g2a8ww3la60r,As a representative of a member institution,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,NA,NA,NA,We are not involved as a library but I am personally.,NA,Teaching and Learning,Collections management and acquisitions,NA,NA,NA,NA,NA,NA,Reference and user services,NA,NA,Library Carpentry,Data Carpentry,Software Carpentry,NA,NA,NA,0-6 months ago,Git,NA,OpenRefine,Python,NA,Regular Expressions,Spreadsheets/tidy data,NA,Unix Shell,NA,NA,NA,NA,NA,I have suggested tools to others and explained how they work,NA,Monthly,5,2,3,2,5,3,4,3,Better data practices and thinking about reproducability,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,NA,Improved relationships with academic or technical partners,NA,NA,Used Carpentry self-guided material,NA,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),NA,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,NA,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,NA,NA,NA,NA,University,NA,at least 10000,NA,at least 20000,at least 500,NA,2021-06-24T15:36:00Z,2021-06-24,0729d31390
npprt63bmg2aw1d7npprpx5xgoimd0df,As an individual,NA,NA,NA,NA,"We are not involved yet, but would like to learn more.",NA,NA,NA,NA,NA,NA,NA,Research data management,"Research and development, digital projects",NA,NA,NA,NA,NA,NA,NA,"No, but I plan to do so",NA,NA,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University,NA,at least 10000,NA,at least 10000 but fewer than 20000,at least 100 but fewer than 250,NA,2021-06-24T15:02:32Z,2021-06-24,fec77d11d5
3vdhyevchx63lvpakbh5p3vdhye831en,As an individual,NA,NA,NA,NA,NA,NA,We've hosted one carpentries workshop,NA,NA,NA,NA,NA,NA,NA,"Metadata and data conversion, cataloging",NA,NA,NA,Library Carpentry,NA,NA,NA,NA,NA,More than 1 year ago,Git,NA,OpenRefine,NA,NA,Regular Expressions,Spreadsheets/tidy data,NA,NA,NA,NA,NA,NA,My own work area(s),I have suggested tools to others and explained how they work,NA,Weekly,5,6,1,0,5,1,3,0,I use Open Refine constantly,Stronger confidence in learning new technical skills,Encouraging skills development of staff,NA,NA,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,NA,NA,NA,NA,NA,NA,I recommended the workshops to other colleagues and friends,NA,NA,NA,NA,FAIR data;,NA,NA,Special library,NA,NA,NA,Not applicable,at least 10 but fewer than 50,NA,2021-06-24T14:52:21Z,2021-06-24,46494624af
tdwwh7blv56myx9w6lotdwwhvvmroiur,As a representative of a member institution,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,NA,NA,NA,NA,NA,NA,NA,"Scholarly communication, publishing services, open access",Digital library management,NA,Research data management,NA,NA,NA,NA,NA,Library Carpentry,NA,NA,NA,NA,NA,More than 1 year ago,NA,NA,OpenRefine,NA,NA,NA,NA,SQL,Unix Shell,NA,NA,NA,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,NA,Daily,6,6,2,4,6,2,5,3,more facile with moving in between technologies and feeling comfortable with various forms of tech,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,NA,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),NA,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,NA,I contributed to Carpentries workshops as a helper,NA,Would like to include a section on pivot tables in excel,NA,"""The Carpentries has allowed me to expand my library toolbox and put to use methods and skills that makes me a more efficient and creative librarian.""",University,NA,at least 10000,NA,at least 5000 but fewer than 10000,at least 500,NA,2021-06-24T14:30:54Z,2021-06-24,5d8ead2c6c
g6za4jg2u99taxm3zg6w2f9ikm5zdlt5,As an individual,NA,NA,NA,NA,"We are not involved yet, but would like to learn more.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Library IT, digital library services",NA,NA,NA,NA,NA,No,NA,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public library,NA,Fewer than 200,NA,Not applicable,at least 10 but fewer than 50,NA,2021-06-24T13:34:14Z,2021-06-24,651a23869a
vb2c73ajxyjbl33es691vb2c73tqjm3a,NA,NA,NA,NA,NA,NA,We are not involved as a library but I am personally.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Library IT, digital library services",NA,NA,Data Carpentry,Software Carpentry,NA,NA,NA,More than 1 year ago,Git,NA,OpenRefine,Python,R,Regular Expressions,Spreadsheets/tidy data,NA,NA,NA,I do not remember,NA,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,NA,Weekly,3,5,3,1,4,6,4,1,General thinking about good use of technology and reproducible methods,Stronger confidence in learning new technical skills,NA,Decision-making on technical solutions in libraries,NA,NA,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,Used non-Carpentry self-guided material,NA,Participated in a short course or workshop (up to 4 days),NA,NA,NA,I recommended the workshops to other colleagues and friends,NA,NA,NA,Helped researchers at my institution via Slack,"Further/advanced Git
Jekyll/Ruby for research websites and blogging
Further Python","I would be happy if there was a way to remain engaged with Library Carpentry, other than attending courses, or becoming a trainer. Something like our local Slack group has been useful to support others, but without a huge time commitment.","The Carpentries is has been transformative in my institution, and I'm sure others. It is so important to make staff and researchers aware of open source tools and how to use them effectively.",University,NA,at least 10000,NA,at least 20000,less than 10,NA,2021-06-24T11:37:14Z,2021-06-24,1c2d3ce40e
uo2ww68wt1ws7a4hi3xw0uo2ww685oie,As an individual,NA,NA,NA,NA,NA,We are not involved as a library but I am personally.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Library IT, digital library services",NA,Library Carpentry,NA,NA,NA,NA,NA,0-6 months ago,Git,Introduction to Data for Archivists,OpenRefine,Python,R,NA,NA,SQL,Unix Shell,NA,NA,NA,In a new work area or project,My own work area(s),NA,NA,Monthly,5,2,2,5,6,1,1,2,NA,NA,NA,Decision-making on technical solutions in libraries,NA,NA,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University,NA,at least 200 but fewer than 500,NA,at least 20000,at least 10 but fewer than 50,NA,2021-06-24T11:24:51Z,2021-06-24,0a5e44551e
6wgfnivkbvlmvrp0p6wgf6ovl38m15b9,As an individual,NA,NA,NA,NA,"We are not involved yet, but would like to learn more.",NA,NA,NA,NA,NA,NA,NA,NA,"Research and development, digital projects",NA,NA,NA,NA,Library Carpentry,Data Carpentry,NA,NA,NA,NA,More than 1 year ago,Git,Introduction to Data for Archivists,OpenRefine,NA,NA,Regular Expressions,NA,NA,Unix Shell,NA,NA,NA,NA,NA,I have suggested tools to others and explained how they work,NA,Less than once a year,3,3,0,0,3,0,0,0,NA,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,NA,NA,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,NA,NA,NA,NA,NA,NA,I recommended the workshops to other colleagues and friends,NA,NA,NA,NA,NA,NA,NA,NA,NA,at least 200 but fewer than 500,NA,Not applicable,at least 250 but fewer than 500,NA,2021-06-24T11:18:12Z,2021-06-24,bda2c412a1
5l8ltdzzmate2tqqu5l8ltg0dfdc3vwn,As an individual,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,NA,NA,NA,We are not involved as a library but I am personally.,NA,Teaching and Learning,NA,"Scholarly communication, publishing services, open access",NA,NA,Research data management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taught but not actually attended as a learner!,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encouraging skills development of staff,NA,NA,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,NA,NA,NA,NA,NA,NA,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,NA,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,Past maintainer and advisory group member,Data ethics maybe?,NA,NA,NA,National Library,at least 2000 but fewer than 5000,NA,Not applicable,at least 500,NA,2021-06-24T11:13:54Z,2021-06-24,96f56097fb
zoyntjopothn5zoynu0jrvgggwzkhyq5,As an individual,NA,NA,NA,NA,"We are not involved yet, but would like to learn more.",NA,NA,Teaching and Learning,NA,NA,NA,NA,NA,NA,NA,Reference and user services,NA,NA,Library Carpentry,NA,NA,NA,NA,NA,0-6 months ago,Git,NA,OpenRefine,NA,NA,Regular Expressions,NA,NA,Unix Shell,NA,NA,NA,NA,NA,NA,None,Less than once a year,0,0,0,0,0,3,0,0,NA,Stronger confidence in learning new technical skills,NA,NA,NA,NA,NA,NA,NA,Used non-Carpentry self-guided material,NA,NA,Participated in a semester-long course,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public library,NA,at least 500 but fewer than 2000,NA,at least 20000,at least 500,NA,2021-06-24T10:56:20Z,2021-06-24,4923a9bac3
mgjv5vpny9xryqwrtfjqomgjv5mes7g5,As a representative of a member institution,We organise and host Carpentries workshops.,NA,NA,NA,NA,NA,NA,Teaching and Learning,NA,NA,NA,NA,NA,NA,NA,Reference and user services,NA,NA,Library Carpentry,NA,NA,NA,NA,NA,More than 1 year ago,Git,NA,OpenRefine,NA,NA,Regular Expressions,NA,SQL,Unix Shell,NA,NA,NA,NA,My own work area(s),NA,NA,Several times per year,3,1,3,0,3,1,3,0,I try to search for solutions to technical problems more efficiently and I don't give up that easily when confronted with technical problems.,Stronger confidence in learning new technical skills,NA,NA,NA,Improved relationships with academic or technical partners,NA,NA,Used Carpentry self-guided material,Used non-Carpentry self-guided material,NA,NA,NA,NA,NA,I recommended the workshops to other colleagues and friends,NA,NA,NA,NA,Maybe an introduction into coding (languages) / an introduction into CMS,NA,The course offers a fun and collaborative way of learning about data management and related topics. It is also accessible to beginners in the field and small successes are achieved easily which makes you more comfortable in dealing with technical issues in general.,NA,NA,at least 10000,NA,at least 20000,at least 500,NA,2021-06-24T10:05:14Z,2021-06-24,d8f1acf516
cc7dwlp66lddh1aewp4oevcc7dwlixnp,As an individual,NA,NA,NA,NA,NA,NA,NA,NA,Collections management and acquisitions,NA,NA,Information and data analytics,NA,NA,"Metadata and data conversion, cataloging",NA,NA,NA,Library Carpentry,NA,NA,NA,NA,NA,0-6 months ago,Git,NA,OpenRefine,NA,NA,Regular Expressions,NA,NA,Unix Shell,NA,NA,NA,NA,My own work area(s),NA,NA,Weekly,4,4,4,0,6,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Used non-Carpentry self-guided material,NA,NA,NA,NA,NA,I recommended the workshops to other colleagues and friends,NA,NA,NA,NA,NA,NA,NA,University,NA,Fewer than 200,NA,at least 20000,at least 100 but fewer than 250,NA,2021-06-24T10:00:11Z,2021-06-24,7ee0d1b1fc
ddwi407y1g6okgnunddwhozftyj1mmm7,As an individual,NA,NA,NA,NA,NA,We are not involved as a library but I am personally.,NA,NA,NA,NA,Digital library management,NA,NA,"Research and development, digital projects",NA,NA,"Library IT, digital library services",NA,Library Carpentry,NA,NA,NA,NA,NA,0-6 months ago,Git,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My own work area(s),NA,NA,Weekly,1,4,0,0,0,0,0,0,NA,Stronger confidence in learning new technical skills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I recommended the workshops to other colleagues and friends,NA,NA,NA,NA,NA,NA,NA,University,NA,at least 500 but fewer than 2000,NA,at least 10000 but fewer than 20000,at least 50 but fewer than 100,NA,2021-06-24T09:48:33Z,2021-06-24,960f00f1ac
ugmxcj11wixtq6g20tugmx7cvp4v6b6m,As an individual,NA,NA,NA,NA,NA,NA,I only participated as an individual,NA,Collections management and acquisitions,NA,NA,Information and data analytics,NA,NA,NA,NA,"Library IT, digital library services",NA,Library Carpentry,NA,NA,NA,NA,NA,More than 1 year ago,Git,NA,OpenRefine,NA,NA,NA,NA,NA,Unix Shell,NA,NA,NA,NA,My own work area(s),NA,NA,Several times per year,0,3,4,0,0,3,3,0,NA,Stronger confidence in learning new technical skills,NA,Decision-making on technical solutions in libraries,NA,NA,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,Used non-Carpentry self-guided material,NA,NA,NA,NA,NA,I recommended the workshops to other colleagues and friends,NA,NA,NA,NA,extended pymarc workshop,NA,NA,University,NA,at least 500 but fewer than 2000,NA,at least 10000 but fewer than 20000,at least 50 but fewer than 100,NA,2021-06-24T09:42:17Z,2021-06-24,23e4f6b0a5
gk2v6m7pt0btngobpmgk2v6m72ysklrh,As an individual,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,We coordinate a local Carpentries community.,NA,NA,NA,Teaching and Learning,Collections management and acquisitions,NA,NA,NA,NA,NA,NA,NA,"Library IT, digital library services",NA,Library Carpentry,NA,NA,NA,NA,NA,More than 1 year ago,Git,NA,OpenRefine,NA,R,NA,Spreadsheets/tidy data,NA,NA,NA,NA,NA,NA,NA,I have suggested tools to others and explained how they work,NA,Monthly,3,5,2,1,1,2,2,4,NA,Stronger confidence in learning new technical skills,Encouraging skills development of staff,NA,NA,NA,NA,NA,Used Carpentry self-guided material,NA,Contributed as an instructor/helper to a Carpentry workshop,NA,NA,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,NA,NA,I contributed to Carpentries workshops as a helper,NA,NA,NA,The friendly atmosphere and the basic level of the courses encourage even experienced library staff to learn new and helpful skills.,University,NA,at least 500 but fewer than 2000,NA,at least 20000,at least 250 but fewer than 500,NA,2021-06-24T07:55:10Z,2021-06-24,a6ce034336
4pp36p1bpu4uaj5mt23yk4pp36p1o4du,As an individual,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,NA,NA,NA,NA,NA,NA,NA,NA,NA,Research data management,"Research and development, digital projects",NA,NA,"Library IT, digital library services",NA,Library Carpentry,Data Carpentry,Software Carpentry,NA,NA,NA,0-6 months ago,Git,NA,OpenRefine,Python,R,Regular Expressions,Spreadsheets/tidy data,NA,Unix Shell,NA,NA,NA,NA,My own work area(s),I have suggested tools to others and explained how they work,NA,Weekly,6,6,3,4,6,3,4,3,NA,NA,Encouraging skills development of staff,NA,NA,NA,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),NA,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,NA,NA,NA,NA,University,NA,at least 10000,NA,at least 20000,at least 100 but fewer than 250,NA,2021-06-23T15:19:30Z,2021-06-23,70c71d545c
1xar2wayw5iy6kfuz08fxe1xa3z4fn1t,As an individual,NA,We contribute as instructors/helpers to workshops.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Research data management,NA,NA,NA,NA,NA,NA,Data Carpentry,NA,NA,NA,NA,More than 1 year ago,Git,NA,OpenRefine,NA,R,NA,NA,SQL,NA,NA,NA,NA,In a new work area or project,My own work area(s),NA,NA,Monthly,5,4,3,0,5,1,3,0,NA,Stronger confidence in learning new technical skills,Encouraging skills development of staff,NA,NA,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,NA,Contributed as an instructor/helper to a Carpentry workshop,NA,NA,NA,I have joined The Carpentries community as an instructor,NA,I have promoted membership to the head of my institution,NA,I contributed to Carpentries workshops as a helper,NA,NA,NA,NA,University,NA,at least 5000 but fewer than 10000,NA,at least 20000,at least 100 but fewer than 250,NA,2021-06-23T03:08:17Z,2021-06-23,508c753d90
m45zi4sckao741lafn6tm45zi4a07maw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No, but I plan to do so",NA,NA,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have not attended,NA,NA,NA,none,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University,NA,at least 2000 but fewer than 5000,NA,at least 20000,at least 10 but fewer than 50,NA,2021-06-22T03:53:14Z,2021-06-22,5c170576ff
